Ada_numbering	Accessions	Country_of_origin	Race/Type	Source	Flowering_group
Avo-92	Hass	California, USA	Mexican x Guatemalan	BD cultivar collection, Faculty of agriculture, Rehovot 	A
Avo-39	Sholola 1	Mexico	Guatemalan	BD avocado germplasm bank	
Avo-84	El Pino	Honduras	West Indian	BD avocado germplasm bank	
Avo-32	P.i.s. 6915	USA	Not identified	BD avocado germplasm bank	
Avo-77	El Cercado	Spain	not identified	BD avocado germplasm bank	
Avo-24	San Marcos	Guatemala	Guatemalan	BD avocado germplasm bank	
Avo-69	Adi	Israel	Horshim x Hass	Akko exp. station cultivar collection	לשאול את עמי
Avo-16	Rirotonga A	Malaysia	West Indian	BD avocado germplasm bank	
Avo-62	Hojancha 2	Costa Rica	West Indian	BD avocado germplasm bank	
Avo-9	Antigua	Mexico	West Indian	BD avocado germplasm bank	
Avo-54	Basaldua	Mexico	Mexican	BD avocado germplasm bank	
Avo-1	Miremar	Costa Rica	West Indian	BD avocado germplasm bank	
Avo-46	Irigaray 141	Costa Rica	Not identified	BD avocado germplasm bank	
Avo-85	Aguacate de monte	Costa Rica	Not identified	BD avocado germplasm bank	
Avo-38	Km 43	Mexico	Mexican	BD avocado germplasm bank	
Avo-78	Argui 1	Canary Island	West Indian	BD avocado germplasm bank	
Avo-31	Comitan 3	Mexico	Guatemalan	BD avocado germplasm bank	
Avo-70	Hass	California, USA	Mexican x Guatemalan	BD cultivar collection, Faculty of agriculture, Rehovot 	A
Avo-23	Puerto Viejo	Costa Rica	Guatemalan	BD avocado germplasm bank	
Avo-63	Arad	Israel	XX102 x N-151-2	Akko exp. station cultivar collection	A
Avo-15	Gordienko 1	Costa Rica	West Indian	BD avocado germplasm bank	
Avo-55	Aguacatitlan	Mexico	Mexican	BD avocado germplasm bank	
Avo-8	Puerto Jimenez	Costa Rica	West Indian	BD avocado germplasm bank	
Avo-47	Huixtla	Mexico	West Indian	BD avocado germplasm bank	
Avo-91	Noble (BL667)	California, USA	Gwen x ? (o.p)	Gaaton Orchard	B
